"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"SNLN","Highland/iBoxx Senior Loan ETF","18.67","319257000","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snln",
"HIW","Highwoods Properties, Inc.","50.29","4959188478.09","n/a","United States","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hiw",
"HIL","Hill International, Inc.","4.1","212170490","n/a","United States","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/hil",
"HI","Hillenbrand Inc","30.8","1943805309.6","n/a","United States","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/hi",
"HLM^","Hillman Group Capital Trust","33.1","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hlm^",
"HRC","Hill-Rom Holdings Inc","59.69","3907602925.19","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hrc",
"HTH","Hilltop Holdings Inc.","24.51","2414314412.4","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hth",
"HIFS","Hingham Institution for Savings","143.3","305049875","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hifs",
"HSGX","Histogenics Corporation","2.85","37832059.95","n/a","United States","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hsgx",
"HMG","HMG/Courtland Properties, Inc.","10.71","10735618.32","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg",
"HMNF","HMN Financial, Inc.","14.2","63742706.6","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hmnf",
"HMSY","HMS Holdings Corp","22.03","1860254153.77","n/a","United States","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
"HNI","HNI Corporation","42.62","1894664044.82","n/a","United States","n/a","Consumer Durables","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hni",
"HEP","Holly Energy Partners, L.P.","33.54","1982275948.38","n/a","United States","2004","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/hep",
"HFC","HollyFrontier Corporation","24.53","4330028290.06","n/a","United States","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/hfc",
"HOLX","Hologic, Inc.","38.17","10589230413.52","n/a","United States","1990","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/holx",
